date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:43	29494/29494	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jul%202019%2016:41:38%20GMT	http://cdn.shopify.com/s/files/1/2427/5575/files/s-2.png?486	C:/My%20Web%20Sites/SocialGrowth/cdn.shopify.com/s/files/1/2427/5575/files/s-27d04.png	(from https://socialgrowthengine.com/pages/free-offer-us)
23:36:47	29293/29293	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jul%202019%2016:41:38%20GMT	http://cdn.shopify.com/s/files/1/2427/5575/files/s-3.png?486	C:/My%20Web%20Sites/SocialGrowth/cdn.shopify.com/s/files/1/2427/5575/files/s-37d04.png	(from https://socialgrowthengine.com/pages/free-offer-us)
23:36:48	29533/29533	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jul%202019%2016:41:38%20GMT	http://cdn.shopify.com/s/files/1/2427/5575/files/s-4.png?486	C:/My%20Web%20Sites/SocialGrowth/cdn.shopify.com/s/files/1/2427/5575/files/s-47d04.png	(from https://socialgrowthengine.com/pages/free-offer-us)
23:36:53	206840/206840	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jul%202019%2016:41:38%20GMT	http://cdn.shopify.com/s/files/1/2427/5575/files/prettiponies.PNG?486	C:/My%20Web%20Sites/SocialGrowth/cdn.shopify.com/s/files/1/2427/5575/files/prettiponies7d04.png	(from https://socialgrowthengine.com/pages/free-offer-us)
23:36:57	147663/147663	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jul%202019%2016:41:38%20GMT	http://cdn.shopify.com/s/files/1/2427/5575/files/list.png?486	C:/My%20Web%20Sites/SocialGrowth/cdn.shopify.com/s/files/1/2427/5575/files/list7d04.png	(from https://socialgrowthengine.com/pages/free-offer-us)
23:36:57	59984/59984	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jul%202019%2016:41:38%20GMT	http://cdn.shopify.com/s/files/1/2427/5575/files/money-back.png?486	C:/My%20Web%20Sites/SocialGrowth/cdn.shopify.com/s/files/1/2427/5575/files/money-back7d04.png	(from https://socialgrowthengine.com/pages/free-offer-us)
23:37:06	81132/81132	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jul%202019%2016:41:38%20GMT	http://cdn.shopify.com/s/files/1/2427/5575/files/message-1.png?486	C:/My%20Web%20Sites/SocialGrowth/cdn.shopify.com/s/files/1/2427/5575/files/message-17d04.png	(from https://socialgrowthengine.com/pages/free-offer-us)
23:37:08	67909/67909	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jul%202019%2016:41:38%20GMT	http://cdn.shopify.com/s/files/1/2427/5575/files/message-2.png?486	C:/My%20Web%20Sites/SocialGrowth/cdn.shopify.com/s/files/1/2427/5575/files/message-27d04.png	(from https://socialgrowthengine.com/pages/free-offer-us)
23:37:11	78164/78164	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jul%202019%2016:41:38%20GMT	http://cdn.shopify.com/s/files/1/2427/5575/files/message-3.png?486	C:/My%20Web%20Sites/SocialGrowth/cdn.shopify.com/s/files/1/2427/5575/files/message-37d04.png	(from https://socialgrowthengine.com/pages/free-offer-us)
23:37:18	72062/72062	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jul%202019%2016:41:38%20GMT	http://cdn.shopify.com/s/files/1/2427/5575/files/message-4.png?486	C:/My%20Web%20Sites/SocialGrowth/cdn.shopify.com/s/files/1/2427/5575/files/message-47d04.png	(from https://socialgrowthengine.com/pages/free-offer-us)
